,id,revenue,sales,customers,price
0,AK2021,501658,2558649,56005,19.61
1,AL2021,2586968,21844283,376180,11.84
2,AR2021,1101412,11516908,201408,9.56
3,AZ2021,3098754,29990064,335377,10.33
4,CA2021,20861069,108761594,1750923,19.18
5,CO2021,2232288,20584470,388601,10.84
6,CT2021,1926205,11701168,155791,16.46
7,DC2021,915415,7043709,26783,13.0
8,DE2021,397960,4196263,58353,9.48
9,FL2021,8931651,93965070,1272939,9.51
10,GA2021,4858538,45777026,599964,10.61
11,HI2021,859804,2784538,59935,30.88
12,IA2021,1234385,12135097,246568,10.17
13,ID2021,520870,6600296,117323,7.89
14,IL2021,4529428,46923210,633019,9.65
15,IN2021,2653827,22920929,364549,11.58
16,KS2021,1615098,15356451,245045,10.52
17,KY2021,2008535,18685936,316806,10.75
18,LA2021,2297883,22459648,297724,10.23
19,MA2021,4048413,23832465,432903,16.99
20,MD2021,2814081,27437050,257947,10.26
21,ME2021,509428,3948896,98304,12.9
22,MI2021,4537108,36860868,550701,12.31
23,MN2021,2478396,22093189,306605,11.22
24,MO2021,2657624,28987412,395150,9.17
25,MS2021,1478569,13676163,241509,10.81
26,MT2021,517065,4906132,112777,10.54
27,NC2021,4053567,47714832,731526,8.5
28,ND2021,624295,6808316,77174,9.17
29,NE2021,815530,9260421,157335,8.81
30,NH2021,662376,4106692,110003,16.13
31,NJ2021,4585342,36137241,529178,12.69
32,NM2021,935011,8655826,146312,10.8
33,NV2021,954732,12293815,171686,7.77
34,NY2021,11238347,69920488,1161852,16.07
35,OH2021,4385397,44980452,640013,9.75
36,OK2021,1739517,19999312,296856,8.7
37,OR2021,1503117,16508755,242237,9.11
38,PA2021,3295183,36988112,725725,8.91
39,RI2021,558933,3604518,60091,15.51
40,SC2021,2253779,21114323,402005,10.67
41,SD2021,486369,4791689,74987,10.15
42,TN2021,3789845,34863397,519798,10.87
43,TX2021,12897917,147843231,1552641,8.72
44,UT2021,992418,12206510,139168,8.13
45,VA2021,4575242,58723978,442263,7.79
46,VT2021,309772,1867111,60403,16.59
47,WA2021,2618513,28637381,394023,9.14
48,WI2021,2547820,23266013,361589,10.95
49,WV2021,679560,7156304,148231,9.5
50,WY2021,333214,3443297,58019,9.68
51,US2021,149008224,1328439498,19102304,11.22
52,AK2020,494103,2524116,61993,19.58
53,AL2020,2460395,21307775,371888,11.55
54,AR2020,956720,11110416,197869,8.61
55,AZ2020,2944348,29128178,331229,10.11
56,CA2020,18757401,107006347,1725533,17.53
57,CO2020,2062508,20042218,384518,10.29
58,CT2020,1848336,11145896,154894,16.58
59,DC2020,807759,6814560,26672,11.85
60,DE2020,374876,4082497,56764,9.18
61,FL2020,8181315,92493736,1256569,8.85
62,GA2020,4466257,44301529,592220,10.08
63,HI2020,762527,2684301,59734,28.41
64,IA2020,1155688,11605738,243762,9.96
65,ID2020,488956,6309927,114707,7.75
66,IL2020,4160567,45486577,628868,9.15
67,IN2020,2465067,21996478,363465,11.21
68,KS2020,1544299,14843319,236430,10.4
69,KY2020,1867406,18061357,312014,10.34
70,LA2020,1982599,22398708,296222,8.85
71,MA2020,3706930,23120500,411448,16.03
72,MD2020,2572151,26451864,256738,9.72
73,ME2020,479414,3815653,97575,12.56
74,MI2020,4156478,35490797,546115,11.71
75,MN2020,2244659,21526677,303702,10.43
76,MO2020,2495141,27931047,387872,8.93
77,MS2020,1368949,13185143,237370,10.38
78,MT2020,494421,4702353,110977,10.51
79,NC2020,3989150,45905051,710220,8.69
80,ND2020,598966,6641700,76834,9.02
81,NE2020,807988,9090239,155282,8.89
82,NH2020,621042,4029709,109068,15.41
83,NJ2020,4360716,35315617,526725,12.35
84,NM2020,863824,8406884,145459,10.28
85,NV2020,892503,11983740,169743,7.45
86,NY2020,10044876,68988817,1143347,14.56
87,OH2020,4116142,43204165,636519,9.53
88,OK2020,1463053,18698988,290192,7.82
89,OR2020,1417933,15748914,239645,9.0
90,PA2020,3006398,35381006,720919,8.5
91,RI2020,566168,3551262,60057,15.94
92,SC2020,2156567,20834372,395288,10.35
93,SD2020,453276,4696475,74236,9.65
94,TN2020,3535442,33480189,501589,10.56
95,TX2020,11030926,145167577,1539553,7.6
96,UT2020,942516,11395032,135113,8.27
97,VA2020,4085686,53526846,437477,7.63
98,VT2020,295914,1805738,59554,16.39
99,WA2020,2436452,27307412,389802,8.92
100,WI2020,2412932,22436275,360316,10.75
101,WV2020,654036,6955844,146769,9.4
102,WY2020,320504,3320024,57958,9.65
103,US2020,136372272,1287439583,18848813,10.59
104,AK2019,522388,2638846,55080,19.8
105,AL2019,2657626,23076470,369798,11.52
106,AR2019,1049648,11948689,198861,8.78
107,AZ2019,3013741,29415272,326191,10.25
108,CA2019,19052164,114279373,1718601,16.67
109,CO2019,2202661,21111259,380609,10.43
110,CT2019,2035899,12157788,151979,16.75
111,DC2019,974995,7952305,26471,12.26
112,DE2019,421499,4421465,55802,9.53
113,FL2019,8950252,96566532,1240902,9.27
114,GA2019,4751931,47411823,585573,10.02
115,HI2019,893824,3057866,59878,29.23
116,IA2019,1230296,12309610,241734,9.99
117,ID2019,493892,6440943,112137,7.67
118,IL2019,4475930,49278746,622802,9.08
119,IN2019,2593902,23517681,358791,11.03
120,KS2019,1637848,15916325,235236,10.29
121,KY2019,1990820,19611510,309830,10.15
122,LA2019,2163564,24284298,295153,8.91
123,MA2019,4255443,25336834,410995,16.8
124,MD2019,2879566,28893335,256165,9.97
125,ME2019,532119,4148305,99738,12.83
126,MI2019,4313039,37860783,544690,11.39
127,MN2019,2369105,22904299,299995,10.34
128,MO2019,2733866,30133114,384787,9.07
129,MS2019,1497763,14238982,237625,10.52
130,MT2019,515875,4956080,109459,10.41
131,NC2019,4330825,49173038,705587,8.81
132,ND2019,633843,7035031,76355,9.01
133,NE2019,836870,9456725,153814,8.85
134,NH2019,682119,4280854,108247,15.93
135,NJ2019,4650585,38012684,523796,12.23
136,NM2019,884212,9028861,144960,9.79
137,NV2019,938867,11681186,167628,8.04
138,NY2019,10556658,75090820,1121107,14.06
139,OH2019,4469895,46008937,632794,9.72
140,OK2019,1603441,20085991,285641,7.98
141,OR2019,1453026,16422975,240488,8.85
142,PA2019,3498024,40142710,716992,8.71
143,RI2019,597112,3644482,60672,16.38
