id,revenue,sales,customers,price
AK2021,223588,1326779,1135,16.85
AL2021,2034105,32155730,7233,6.33
AR2021,1196803,18228014,36628,6.57
AZ2021,956213,14089072,7548,6.79
CA2021,7050423,47583329,149389,14.82
CO2021,1205161,15053158,15287,8.01
CT2021,269676,2799194,4049,9.63
DC2021,18839,239501,1,7.87
DE2021,160527,2113012,864,7.6
FL2021,1308516,17112564,23036,7.65
GA2021,2125605,32758986,24211,6.49
HI2021,902208,3326862,817,27.12
IA2021,1731614,26106417,9479,6.63
ID2021,599709,9384477,28974,6.39
IL2021,3027919,41498024,5456,7.3
IN2021,3199952,43329491,19066,7.39
KS2021,838799,11365925,23965,7.38
KY2021,1748373,29396679,5424,5.95
LA2021,2357221,37941990,19928,6.21
MA2021,963191,6345834,10907,15.18
MD2021,294409,3480392,8991,8.46
ME2021,245671,2573512,2498,9.55
MI2021,2082727,27081082,5706,7.69
MN2021,1759971,21227196,9130,8.29
MO2021,929932,13086588,9985,7.11
MS2021,938693,15769265,10795,5.95
MT2021,280444,4495983,11670,6.24
NC2021,1660482,27049367,9567,6.14
ND2021,822740,11166390,8980,7.37
NE2021,914411,12588380,63253,7.26
NH2021,266332,1928665,3180,13.81
NJ2021,705553,6593424,11503,10.7
NM2021,594168,9649559,9271,6.16
NV2021,743879,12359543,3303,6.02
NY2021,1071636,16891152,7313,6.34
OH2021,3246519,49529406,19556,6.55
OK2021,1143471,20779958,20174,5.5
OR2021,1034702,17318508,26447,5.97
PA2021,3268118,49999765,15006,6.54
RI2021,103366,643779,1650,16.06
SC2021,1656154,27292017,3652,6.07
SD2021,257176,3205738,4151,8.02
TN2021,1206803,21917298,1016,5.51
TX2021,8115251,132529561,293034,6.12
UT2021,586304,9471737,10180,6.19
VA2021,1279924,19712199,3687,6.49
VT2021,155980,1371096,248,11.38
WA2021,1245305,21436480,26243,5.81
WI2021,1777080,23295516,5665,7.63
WV2021,884516,14570979,11343,6.07
WY2021,644772,9443917,11618,6.83
US2021,71834926,1000613490,1022212,7.18
AK2020,207206,1304415,1129,15.88
AL2020,1806524,30756789,7240,5.87
AR2020,987435,16760182,35978,5.89
AZ2020,856644,14113139,7595,6.07
CA2020,6797215,47630882,148130,14.27
CO2020,1154897,15431465,15209,7.48
CT2020,373836,2860291,4130,13.07
DC2020,14881,186344,1,7.99
DE2020,137784,2055420,878,6.7
FL2020,1185729,16572954,22587,7.15
GA2020,1777389,30807724,23822,5.77
HI2020,797940,3263346,816,24.45
IA2020,1572418,24466641,9507,6.43
ID2020,571938,9180674,28759,6.23
IL2020,2703056,40362204,5561,6.7
IN2020,2949718,42262910,19383,6.98
KS2020,806298,11048183,23979,7.3
KY2020,1477126,27803946,5982,5.31
LA2020,1770445,36276417,19276,4.88
MA2020,902346,6220376,10877,14.51
MD2020,264111,3381895,8966,7.81
ME2020,232770,2625824,2681,8.86
MI2020,1858134,25654081,5580,7.24
MN2020,1501592,19571847,9042,7.67
MO2020,877402,12823832,10108,6.84
MS2020,862202,15302064,10343,5.63
MT2020,232985,4501861,11414,5.18
NC2020,1630155,25828233,9822,6.31
ND2020,735791,10131201,8933,7.26
NE2020,853740,11566353,62716,7.38
NH2020,245652,1873446,3180,13.11
NJ2020,674041,6735377,11629,10.01
NM2020,507044,9088192,9436,5.58
NV2020,669293,11924592,3316,5.61
NY2020,920958,16610457,7535,5.54
OH2020,2884078,46823365,19746,6.16
