id,revenue,sales,customers,price
AK2021,469886,2083911,292451,22.55
AL2021,4092368,31585153,2308226,12.96
AR2021,2131723,18918015,1436246,11.27
AZ2021,4655903,37130339,2953823,12.54
CA2021,20604392,90284143,13883994,22.82
CO2021,2696118,20625005,2443109,13.07
CT2021,2868410,13092128,1530251,21.91
DC2021,330851,2528049,298337,13.09
DE2021,647126,5170380,453758,12.52
FL2021,15518174,130412464,9917113,11.9
GA2021,7339634,58684962,4560653,12.51
HI2021,946210,2825082,443535,33.49
IA2021,1864645,14651755,1417424,12.73
ID2021,944639,9300843,806421,10.16
IL2021,6167780,46813068,5361717,13.18
IN2021,4476492,33471970,2948803,13.37
KS2021,1787507,13769410,1289344,12.98
KY2021,3040792,26434371,2032575,11.5
LA2021,3351648,30408224,2126155,11.02
MA2021,4647885,20305269,2840311,22.89
MD2021,3669204,27964545,2395954,13.12
ME2021,861576,5062266,722038,17.02
MI2021,6289783,35868100,4458038,17.54
MN2021,3138279,23246055,2496406,13.5
MO2021,4071545,35668409,2861933,11.42
MS2021,2145795,18569936,1321576,11.56
MT2021,623923,5559446,531398,11.22
NC2021,6897040,60914684,4774592,11.32
ND2021,530311,4888401,391340,10.85
NE2021,1127997,10492369,869656,10.75
NH2021,959250,4831911,638267,19.85
NJ2021,4921080,30090371,3648914,16.35
NM2021,958086,7088358,914495,13.52
NV2021,1651794,14373357,1249392,11.49
NY2021,10161755,52156882,7256212,19.48
OH2021,6789217,53171193,5041904,12.77
OK2021,2612424,23745867,1818813,11.0
OR2021,2307363,20285346,1805684,11.37
PA2021,7697613,55945176,5477367,13.76
RI2021,698380,3131533,446320,22.3
SC2021,4037454,31385796,2426703,12.86
SD2021,616517,5043964,412657,12.22
TN2021,4741606,42840442,3016642,11.07
TX2021,18772300,155075136,11815251,12.11
UT2021,1142206,10950415,1176949,10.43
VA2021,5579585,46634411,3551532,11.96
VT2021,418734,2174489,319444,19.26
WA2021,3843746,38021233,3220813,10.11
WI2021,3320221,22864047,2761990,14.52
WV2021,1343207,11050705,863647,12.15
WY2021,323702,2897498,278599,11.17
US2021,200833874,1470486882,138308772,13.66
AK2020,471526,2089046,315208,22.57
AL2020,3939867,31331041,2280741,12.58
AR2020,1871422,17980206,1413490,10.41
AZ2020,4751047,38707416,2896339,12.27
CA2020,19413314,94934563,13834719,20.45
CO2020,2531337,20482502,2400357,12.36
CT2020,2948780,12981839,1521112,22.71
DC2020,309841,2452589,290466,12.63
DE2020,627031,4991134,446276,12.56
FL2020,15021436,133298869,9731237,11.27
GA2020,6995859,58220280,4487431,12.02
HI2020,862771,2849114,442002,30.28
IA2020,1815028,14567483,1403386,12.46
ID2020,892473,8970751,782559,9.95
IL2020,6021966,46170538,5339610,13.04
IN2020,4217038,32878355,2920266,12.83
KS2020,1747076,13592444,1282532,12.85
KY2020,2818425,25935096,2013910,10.87
LA2020,2942989,30440746,2112928,9.67
MA2020,4468961,20345178,2817549,21.97
MD2020,3551281,27306375,2376983,13.01
ME2020,824665,4905263,717559,16.81
MI2020,5831461,35862912,4423595,16.26
MN2020,3020236,22935672,2464753,13.17
MO2020,3922562,34950370,2833918,11.22
MS2020,2010535,17994833,1308149,11.17
MT2020,604844,5379965,522382,11.24
NC2020,6672919,58641572,4695096,11.38
ND2020,526673,5046551,387506,10.44
NE2020,1135271,10514944,864842,10.8
NH2020,911967,4790374,633234,19.04
NJ2020,4756754,29676857,3618587,16.03
NM2020,942023,7282079,905885,12.94
NV2020,1624395,14321607,1226566,11.34
NY2020,9596805,52257144,7239162,18.36
OH2020,6457167,52552770,5014959,12.29
OK2020,2350122,23232473,1795629,10.12
OR2020,2191867,19628011,1785131,11.17
PA2020,7511991,55307093,5448109,13.58
RI2020,692840,3148021,441573,22.01
SC2020,3940889,30826017,2377020,12.78
SD2020,595509,5070024,407532,11.75
TN2020,4420255,41084911,2930482,10.76
TX2020,18322011,156414819,11515333,11.71
UT2020,1100682,10546793,1143136,10.44
VA2020,5542948,46088846,3506844,12.03
VT2020,421376,2157001,316948,19.54
WA2020,3639303,36858798,3168238,9.87
WI2020,3271758,22846734,2742424,14.32
WV2020,1283976,10877499,862279,11.8
WY2020,319940,2879528,276029,11.11
US2020,192663208,1464605046,136682001,13.15
AK2019,441887,1928208,289290,22.92
AL2019,4061182,32415646,2249425,12.53
AR2019,1834859,18732316,1396870,9.8
AZ2019,4317059,34720050,2853183,12.43
CA2019,16763780,87523987,13707126,19.15
CO2019,2362565,19404743,2370164,12.18
CT2019,2732697,12493550,1510966,21.87
DC2019,330687,2546920,282277,12.98
DE2019,627984,5004131,439167,12.55
FL2019,14882751,127181551,9565846,11.7
GA2019,6979149,59331491,4411521,11.76
HI2019,884847,2759774,438352,32.06
IA2019,1805899,14494821,1392979,12.46
ID2019,860048,8696843,763841,9.89
IL2019,5890958,45220258,5314522,13.03
IN2019,4182919,33249234,2887031,12.58
KS2019,1732742,13630661,1274955,12.71
KY2019,2869131,26573076,1991137,10.8
LA2019,3035095,30986024,2095466,9.8
MA2019,4233106,19314571,2802099,21.92
MD2019,3611327,27533693,2352535,13.12
ME2019,857569,4793809,710869,17.89
MI2019,5273119,33495725,4384305,15.74
MN2019,2906625,22288152,2446111,13.04
MO2019,3975602,35691426,2811863,11.14
MS2019,2108801,18717858,1293419,11.27
MT2019,590943,5308103,516052,11.13
NC2019,6834017,59852793,4620856,11.42
ND2019,527970,5125431,385038,10.3
NE2019,1109655,10307905,855619,10.77
NH2019,903574,4506830,627257,20.05
NJ2019,4534973,28612555,3596834,15.85
NM2019,859664,6871561,895086,12.51
NV2019,1544743,12867637,1204996,12.0
NY2019,8995439,50141003,7235400,17.94
OH2019,6464453,52226097,4980931,12.38
OK2019,2429743,23805972,1777156,10.21
OR2019,2123882,19286182,1763783,11.01
PA2019,7508619,54396182,5418870,13.8
