,id,revenue,sales,customers,price
0,AK2021,0,0,0,0.0
1,AL2021,0,0,0,0.0
2,AR2021,28,205,2,13.56
3,AZ2021,981,10515,2,9.33
4,CA2021,73215,620799,12,11.79
5,CO2021,8362,88576,1,9.44
6,CT2021,18136,145116,3,12.5
7,DC2021,26547,272113,3,9.76
8,DE2021,0,0,0,0.0
9,FL2021,5985,71984,2,8.31
10,GA2021,9449,142978,1,6.61
11,HI2021,0,0,0,0.0
12,IA2021,0,0,0,0.0
13,ID2021,0,0,0,0.0
14,IL2021,29178,454531,3,6.42
15,IN2021,1775,17656,1,10.05
16,KS2021,0,0,0,0.0
17,KY2021,0,0,0,0.0
18,LA2021,1021,9484,1,10.77
19,MA2021,20508,314820,2,6.51
20,MD2021,31972,421987,5,7.58
21,ME2021,0,0,0,0.0
22,MI2021,398,3231,2,12.3
23,MN2021,2360,22728,1,10.38
24,MO2021,1699,20632,2,8.23
25,MS2021,0,0,0,0.0
26,MT2021,0,0,0,0.0
27,NC2021,1114,14194,1,7.85
28,ND2021,0,0,0,0.0
29,NE2021,0,0,0,0.0
30,NH2021,0,0,0,0.0
31,NJ2021,23053,249430,6,9.24
32,NM2021,0,0,0,0.0
33,NV2021,411,5327,1,7.72
34,NY2021,311083,2455256,8,12.67
35,OH2021,2728,36814,3,7.41
36,OK2021,0,0,0,0.0
37,OR2021,2193,22596,2,9.71
38,PA2021,27859,407101,5,6.84
39,RI2021,3589,18174,1,19.75
40,SC2021,0,0,0,0.0
41,SD2021,0,0,0,0.0
42,TN2021,0,0,0,0.0
43,TX2021,11865,179950,3,6.59
44,UT2021,5490,48965,1,11.21
45,VA2021,14823,174608,1,8.49
46,VT2021,0,0,0,0.0
47,WA2021,10248,103574,5,9.89
48,WI2021,157,1039,2,15.12
49,WV2021,0,0,0,0.0
50,WY2021,0,0,0,0.0
51,US2021,646228,6334383,82,10.2
52,AK2020,0,0,0,0.0
53,AL2020,0,0,0,0.0
54,AR2020,27,199,2,13.32
55,AZ2020,1064,11341,2,9.38
56,CA2020,60682,602880,13,10.07
57,CO2020,8126,94079,1,8.64
58,CT2020,16768,125647,3,13.34
59,DC2020,31906,332282,3,9.6
60,DE2020,0,0,0,0.0
61,FL2020,5739,74612,2,7.69
62,GA2020,7584,140609,1,5.39
63,HI2020,0,0,0,0.0
64,IA2020,0,0,0,0.0
65,ID2020,0,0,0,0.0
66,IL2020,29507,449958,3,6.56
67,IN2020,1839,18001,1,10.21
68,KS2020,0,0,0,0.0
69,KY2020,0,0,0,0.0
70,LA2020,948,10814,1,8.77
71,MA2020,20159,323287,2,6.24
72,MD2020,38082,488906,5,7.79
73,ME2020,0,0,0,0.0
74,MI2020,469,4116,2,11.39
75,MN2020,1919,20410,1,9.4
76,MO2020,1603,20463,2,7.84
77,MS2020,0,0,0,0.0
78,MT2020,0,0,0,0.0
79,NC2020,1236,16124,1,7.67
80,ND2020,0,0,0,0.0
81,NE2020,0,0,0,0.0
82,NH2020,0,0,0,0.0
83,NJ2020,24836,270370,6,9.19
84,NM2020,0,0,0,0.0
85,NV2020,350,3960,1,8.84
86,NY2020,309509,2550214,8,12.14
87,OH2020,2342,34899,3,6.71
88,OK2020,0,0,0,0.0
89,OR2020,2423,25606,2,9.46
90,PA2020,36505,425435,5,8.58
91,RI2020,3905,17566,1,22.23
92,SC2020,0,0,0,0.0
93,SD2020,0,0,0,0.0
94,TN2020,0,0,0,0.0
95,TX2020,11314,173662,3,6.52
96,UT2020,5263,49213,1,10.69
97,VA2020,14431,164460,1,8.77
98,VT2020,0,0,0,0.0
99,WA2020,9708,97748,5,9.93
100,WI2020,141,963,2,14.64
101,WV2020,0,0,0,0.0
102,WY2020,0,0,0,0.0
103,US2020,648385,6547824,83,9.9
104,AK2019,0,0,0,0.0
105,AL2019,0,0,0,0.0
106,AR2019,49,416,2,11.73
107,AZ2019,1079,11144,2,9.68
108,CA2019,68402,767621,12,8.91
109,CO2019,9905,113801,1,8.7
110,CT2019,24209,176866,3,13.69
111,DC2019,33199,349546,3,9.5
112,DE2019,0,0,0,0.0
113,FL2019,7103,85390,2,8.32
114,GA2019,9608,164292,1,5.85
115,HI2019,0,0,0,0.0
116,IA2019,0,0,0,0.0
117,ID2019,0,0,0,0.0
118,IL2019,39370,570032,3,6.91
119,IN2019,2218,20606,1,10.76
120,KS2019,0,0,0,0.0
121,KY2019,0,0,0,0.0
122,LA2019,1079,11886,1,9.08
123,MA2019,21138,343494,2,6.15
